termName	cui	tty
Gram negative septicemia	C0036685	disorder
Disturbance in sleep behavior	C0037317	finding
Nuclear cataract	C0392557	disorder
Lichen simplex chronicus	C0149922	disorder
Mass of scrotum	C0149774	finding
Posttraumatic headache	C0032816	finding
Mobitz type I incomplete atrioventricular block	C0264907	disorder
Threatened abortion	C0000821	disorder
Cervical tuberculous lymphadenitis	C0036467	disorder
White blood cell disorder	C0023510	disorder
Upper respiratory infection	C0041912	disorder
Tonic-clonic seizure	C0494475	finding
Second degree burn of hand	C0274091	disorder
Discharge from nipple	C0149741	disorder
Disruptive behavior disorder	C0012734	disorder
Acute myocardial infarction of anterior wall	C2349195	disorder
Exanthema subitum	C0015231	disorder
Acute upper respiratory infection	C0264222	disorder
Cervical radiculopathy	C0742186	disorder
Tinea capitis	C0040250	disorder
Fracture of shaft of femur	C0272753	disorder
Fracture of ulna	C0041601	disorder
Lower abdominal pain	C0232495	finding
Simple phobia	C0236801	disorder
Ulcer of rectum	C0400839	disorder
Closed fracture of base of metacarpal bone other than first metacarpal	C0272686	disorder
Arterial embolism	C0549124	disorder
Deficient knowledge	C0231391	finding
Subclinical hypothyroidism	C0271790	disorder
Failure to thrive	C0015544	disorder
Extraction of cataract	C0007389	procedure
Sprain of knee	C0272891	disorder
Gastrostomy	C0017196	procedure
Syndrome of inappropriate vasopressin secretion	C0021141	disorder
Contusion of ankle	C0160956	disorder
Acute bronchiolitis	C0001311	disorder
Organic delusional disorder	C0029225	disorder
Sacroiliac joint inflamed	C0574960	disorder
Tooth extraction	C0040440	procedure
Replacement of tricuspid valve with tissue graft	C0553899	procedure
Calcaneal spur	C0158322	disorder
Cramp	C0026821	finding
Neoplastic disease	C1882062	disorder
Cerebral atherosclerosis	C0007775	disorder
Senile entropion	C0155188	disorder
Systemic lupus erythematosus	C0024141	disorder
Disorder of ovary	C0029928	disorder
Paralytic ileus	C0030446	disorder
Asthma without status asthmaticus	C0264405	disorder
Prurigo simplex	C0263352	disorder
Adjustment disorder with mixed emotional features	C0001542	disorder
Drug overdose	C0029944	disorder
Spinal arthrodesis	C0037935	procedure
Unilateral agenesis of kidney	C0266294	disorder
Respiratory syncytial virus infection	C0035235	disorder
Hyperlipidemia	C0020473	disorder
Left ventricular hypertrophy	C0149721	disorder
Disorder of bursa of shoulder region	C0263910	disorder
Disorder of pericardium	C0265122	disorder
Feeling irritable	C0022107	finding
Unilateral inguinal hernia with obstruction but no gangrene	C0554123	disorder
Wheezing	C0043144	finding
Opioid abuse	C0029095	disorder
Seroma	C0262627	morphologic abnormality
Staphylococcal infectious disease	C0038160	disorder
Repair of musculotendinous cuff of shoulder	C0186666	procedure
Migraine without aura	C0338480	disorder
Photopsia	C0085635	disorder
Cubital tunnel syndrome	C0206239	disorder
Retinal detachment with retinal defect	C0154808	disorder
Systolic hypertension	C0221155	disorder
Stricture of intestine	C0267465	disorder
Heart disease	C0018799	disorder
Multi-infarct dementia	C0011263	disorder
Transplantation of small intestine	C0192796	procedure
Nicotine dependence	C0028043	disorder
Nystagmus	C0028738	disorder
Cosmetic surgery	C1318456	procedure
Alopecia	C0002170	disorder
Infection by Trichomonas	C0040921	disorder
Pityriasis versicolor	C0040262	disorder
Creation of conduit of right atrium and pulmonary artery	C0190010	procedure
Fibrositis	C0016053	disorder
Panic disorder without agoraphobia	C0236794	disorder
Moderate smoker (20 or less per day)	C0337668	finding
Pain in wrist	C0221785	finding
Contusion of hand	C0432769	disorder
Crohn's disease of small intestine	C0156146	disorder
Tuberculosis	C0041296	disorder
Vitiligo	C0042900	disorder
Incision AND drainage	C0152277	procedure
Tic disorder	C0040188	disorder
Endemic goiter	C0018022	disorder
Endocarditis	C0014118	disorder
Localized amyloidosis	C0268392	disorder
Anorexia nervosa	C0003125	disorder
Victim of sexual aggression	C0277730	finding
Perforation of intestine	C0021845	disorder
Perinatal jaundice from hereditary hemolytic anemia	C0158969	disorder
Abnormal sexual function	C0549622	finding
Verruca vulgaris	C0043037	disorder
Cyst of Bartholin's gland duct	C0004767	disorder
Acute myocardial infarction	C0155626	disorder
Myopia	C0027092	disorder
Adjustment disorder with depressed mood	C0001539	disorder
Bullous keratopathy	C0155111	disorder
Craniosynostosis syndrome	C0010278	disorder
Chronic gastric ulcer with hemorrhage	C0267127	disorder
Carpal tunnel syndrome	C0007286	disorder
Gastroenteritis presumed infectious	C0277534	disorder
Retinal vascular disorder	C0154833	disorder
Asthma with status asthmaticus	C0038218	disorder
Bacteremia	C0004610	finding
Oxyphilic adenocarcinoma	C0205642	morphologic abnormality
Peptic reflux disease	C0014869	disorder
Persistent primary tooth	C0266050	disorder
Joint pain	C0003862	finding
Ependymoma, no ICD-O subtype	C0014474	morphologic abnormality
Bleeding ulcer of esophagus	C0236127	disorder
First degree perineal laceration	C0269863	disorder
Rectal prolapse	C0034888	disorder
Disorder of vocal cord	C0264309	disorder
Alternating exotropia with V pattern	C0155332	disorder
Operation on nasal septum	C0396141	procedure
Term infant	C0456128	finding
Herpetic gingivostomatitis	C0376379	disorder
Contusion of toe	C0160957	disorder
Perianal fistula	C0267561	disorder
Postoperative wound infection	C0038941	disorder
Fracture of clavicle	C0159658	disorder
Viral meningitis	C0025297	disorder
Diplegic cerebral palsy	C0270804	disorder
Schizophrenia	C0036341	disorder
Scalding pain on urination	C0423736	finding
Traumatic dislocation of knee joint	C0159970	disorder
Hypersplenism	C0020532	disorder
Allogeneic bone marrow transplantation	C0149615	procedure
Tuberculosis of meninges	C0041318	disorder
Tardy ulnar nerve palsy	C0270906	finding
Empyema of pleura	C0014013	disorder
Closed supracondylar fracture of humerus	C0435569	disorder
Cutis laxa	C0010495	disorder
Congenital exomphalos	C1306503	disorder
Parasomnia	C0030508	disorder
Postpartum depression	C0221074	disorder
Rheumatic fever	C0035436	disorder
Huntington's chorea	C0020179	disorder
Intertrigo	C0021807	disorder
Acquired pancytopenia	C0271892	disorder
Autologous bone marrow transplant	C0194037	procedure
Complication of transplanted kidney	C1261281	disorder
Physical examination procedure	C0031809	procedure
Keratitis	C0022568	disorder
Tubo-ovarian abscess	C0041343	disorder
Dribbling of urine	C0149671	finding
Pseudohypoparathyroidism	C0033806	disorder
History and physical examination, complete	C0199189	procedure
Angina decubitus	C0152172	disorder
Blepharospasm	C0005747	disorder
Klippel-Trenaunay-Weber syndrome	C0022739	disorder
Right bundle branch block	C0085615	disorder
Fracture of neck of femur	C0015806	disorder
Reduction mammaplasty	C0191922	procedure
Proliferative diabetic retinopathy	C0154830	disorder
Pulmonary embolism	C0034065	disorder
Oral contraception	C0029151	finding
Hidradenitis suppurativa	C0162836	disorder
Metabolic acidosis	C0220981	disorder
Herpes simplex disciform keratitis	C0153038	disorder
Premenstrual dysphoric disorder	C0520676	disorder
Severe depressed bipolar I disorder with psychotic features	C0236777	disorder
Essential hypertension	C0085580	disorder
Cervical arthrodesis by anterior technique	C0186011	procedure
Delay when starting to pass urine	C0152032	finding
Herpetic ulceration of vulva	C0153033	disorder
Obstructive hyperbilirubinemia	C0022354	disorder
Paralytic lagophthalmos	C0155197	finding
Hepatic failure	C0085605	disorder
Functional heart murmur	C0232255	finding
Unable to concentrate	C0235198	finding
Pleural effusion	C0032227	disorder
Disorder of eyelid	C0015423	disorder
Osteomyelitis	C0029443	disorder
Vitreous degeneration	C0155366	disorder
Tinea pedis	C0040259	disorder
Aortic valve regurgitation	C0003504	disorder
Female urinary stress incontinence	C0038437	finding
Laparoscopic appendectomy	C0372525	procedure
Abnormal auditory perception	C0375257	disorder
Trichiasis	C0221259	disorder
Movement disorder	C0026650	disorder
Narcolepsy	C0027404	disorder
Paraplegia	C0030486	disorder
Cerebral abscess	C1510428	disorder
Sinus node dysfunction	C0428908	disorder
Perforation of tympanic membrane	C0206504	disorder
Adenomatous polyp of cervix	C0347493	disorder
Burn of upper limb	C0274035	disorder
Aortic valve stenosis	C0003507	disorder
Residual foreign body in soft tissue	C0158368	disorder
Disorder of the larynx	C0023051	disorder
Corneal transplant	C0010042	procedure
Closed fracture of rib	C0435750	disorder
Hemorrhagic esophagitis	C0520560	disorder
Sensorineural hearing loss	C0018784	disorder
Burn of neck	C0273982	disorder
Bleeding from anus	C0426747	disorder
Lagophthalmos	C0152226	finding
Foot-drop	C0085684	finding
Pseudogout	C0033802	disorder
Dyspnea on exertion	C0231807	finding
Tinnitus	C0040264	finding
Contusion of nose	C0274210	disorder
Hypertensive heart disease without congestive heart failure	C0155591	disorder
Degeneration of lumbosacral intervertebral disc	C0263875	disorder
Breech presentation	C0006157	finding
Detrusor instability of bladder	C1261562	disorder
Moderate mental retardation (I.Q. 35-49)	C0026351	disorder
Stomatitis	C0038362	disorder
Demyelinating disease of central nervous system	C0011302	disorder
Hemolytic anemia	C0002878	disorder
Retinal neovascularization	C0035320	disorder
Acute duodenal ulcer with perforation	C0155995	disorder
Gastric hemorrhage	C0235325	disorder
Severe depressed bipolar I disorder without psychotic features	C0236776	disorder
Retinal edema	C0242420	disorder
Influenza	C0021400	disorder
Open wound of forearm with tendon involvement	C0160612	disorder
Allergic rhinitis	C0002103	disorder
Phlebitis	C0031542	disorder
Drug withdrawal syndrome in newborn	C0027609	disorder
Influenza with non-respiratory manifestation	C0155871	disorder
Repair of rotator cuff by suture	C0186667	procedure
Helicobacter-associated disease	C0520770	disorder
Bitemporal hemianopia	C0221184	finding
Simple chronic bronchitis	C0155872	disorder
Chronic type B viral hepatitis	C0524909	disorder
Adverse reaction to drug	C0041755	disorder
Concussion with no loss of consciousness	C0160121	disorder
Acute cholangitis	C0267917	disorder
Lumbosacral neuritis	C0423676	disorder
Diarrhea	C0011991	finding
Second degree perineal laceration	C0269870	disorder
Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia (CRST) syndrome	C1527226	disorder
Female pelvic peritoneal adhesions	C0156331	disorder
Operative procedure on knee	C0187769	procedure
Transplantation of pancreas	C0030275	procedure
Subjective tinnitus	C0155533	finding
Acquired immune deficiency syndrome (AIDS)	C0001175	disorder
Pins and needles	C0423572	finding
Congenital deviation of nasal septum	C0265743	disorder
Acute anteroseptal myocardial infarction	C0264699	disorder
Female proctocele without uterine prolapse	C1306265	disorder
Cradle cap	C0263233	disorder
Orthopnea	C0085619	finding
Injury of ulnar nerve	C0161458	disorder
Cellulitis of hand	C0007646	disorder
Abscess of neck	C0702176	disorder
Tachyarrhythmia	C0080203	disorder
Nonobliterative otosclerosis involving oval window	C0155524	disorder
Ectropion of eyelid	C0013592	disorder
Cerebrovascular disease	C0007820	disorder
Closed traumatic dislocation of hip joint	C0009041	disorder
Visual disturbance	C0547030	disorder
Vulvitis	C0042996	disorder
Paranoid schizophrenia in remission	C0270400	disorder
Chondromalacia	C0085700	disorder
Manic bipolar I disorder in partial remission	C0236771	disorder
Superior vena cava syndrome	C0038833	disorder
Distorted body image	C0558116	finding
Bacterial infection due to Pseudomonas	C0033817	disorder
Verruca plantaris	C0042548	disorder
Left bundle branch block	C0023211	disorder
Chronic bronchitis	C0008677	disorder
Intermittent claudication	C0021775	disorder
Prurigo nodularis	C0263353	disorder
Glioblastoma	C0017636	morphologic abnormality
Derangement of knee	C0158053	disorder
Bundle branch block	C0006384	disorder
Premature labor	C0022876	finding
Pain in testicle	C0039591	finding
Intermittent exotropia	C0423062	disorder
Basilar artery syndrome	C0004812	disorder
Finding of nocturia	C0028734	finding
Vitamin B12 deficiency (non anemic)	C0268679	disorder
Peptic ulcer with hemorrhage	C0030922	disorder
Pruritic rash	C0033771	disorder
Thrombophlebitis	C0040046	disorder
Colitis	C0009319	disorder
Paralysis of diaphragm	C0035232	disorder
Embryonic fimbrial cyst	C0030584	disorder
Mallet finger	C0158473	disorder
Trigeminal nerve disorder	C0152177	disorder
Preinfarction angina	C0002965	disorder
Pneumonia due to Klebsiella pneumoniae	C0519030	disorder
Nasal discharge	C0264273	disorder
Supraventricular tachycardia	C0039240	disorder
Abscess of buttock	C0263118	disorder
Carotid artery stenosis	C0007282	disorder
Amygdalolith	C0272388	disorder
Enteritis, inflammatory disorder of small intestine	C0014335	disorder
Corneal opacity	C0010038	disorder
Congenital nystagmus	C0700501	disorder
Closed fracture of calcaneus	C0159888	disorder
Interstitial pneumonia	C0206061	disorder
Hypertensive heart disease	C0152105	disorder
Previous cesarean section	C0269733	disorder
Ulcerative colitis	C0009324	disorder
Blood coagulation disorder	C0005779	disorder
Osteoporosis	C0029456	disorder
Closed fracture of olecranon process of ulna	C0159713	disorder
Paranoid schizophrenia	C0036349	disorder
Parainfluenza virus pneumonia	C0276333	disorder
Radionuclide therapy for hyperthyroidism	C0203621	procedure
Recurrent pyogenic cholangitis	C0267920	disorder
Hereditary peripheral neuropathy	C0392553	disorder
Iritis	C0022081	disorder
Generalized convulsive epilepsy	C0311334	disorder
Swelling	C0038999	finding
Twin pregnancy	C0152150	disorder
Arterial thrombosis	C0151942	disorder
Insertion of intrauterine contraceptive device	C0812450	procedure
Cervical spondylosis with myelopathy	C0158242	disorder
Acute cholecystitis	C0149520	disorder
Polymyalgia rheumatica	C0032533	disorder
Acquired hallux valgus	C0158458	disorder
Acquired cavovarus deformity of foot	C0158493	disorder
Otitis media	C0029882	disorder
Langerhans cell histiocytosis	C0019621	disorder
Granuloma annulare	C0085074	disorder
Radical retropubic prostatectomy	C0194825	procedure
Aspergillosis	C0004030	disorder
Cigarette smoker	C0337667	finding
Polyp of cervix	C0007855	disorder
Congenital anomaly of cerebrovascular system	C0158638	disorder
Fetus OR newborn affected by oligohydramnios	C0158819	disorder
Rectovaginal fistula	C0034895	disorder
Keratoconus	C0022578	disorder
Otorrhea	C0155540	disorder
Intrauterine pregnancy	C0149973	finding
Subluxation of lens	C0023316	disorder
Legal blindness	C0271215	disorder
Hiccoughs	C0019521	finding
beta Thalassemia	C0005283	disorder
Known OR suspected fetal abnormality affecting management of mother	C0157063	disorder
Type B viral hepatitis	C0019163	disorder
Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated	C0236640	disorder
Closed fracture of sternum	C0159637	disorder
Ulcer on tongue	C0235351	disorder
Fatty stool	C0038238	finding
Substance abuse	C0740858	disorder
Fetus OR newborn affected by polyhydramnios	C0158820	disorder
Fracture of humerus	C0020162	disorder
Thrombocytosis	C0836924	disorder
Impulse control disorder	C0021122	disorder
Adjustment disorder with mixed disturbance of emotions AND conduct	C0001541	disorder
Gingivitis	C0017574	disorder
Retinal scar	C0271036	disorder
Acquired hallux rigidus	C0264134	disorder
Back strain of thoracic region	C0272910	disorder
Acute laryngitis	C0001327	disorder
Retained dental root	C0155952	disorder
Alcohol dependence	C0001973	disorder
Moderate depressed bipolar I disorder	C0236775	disorder
Paroxysmal ventricular tachycardia	C0030591	disorder
Optic neuritis	C0029134	disorder
Hemoptysis	C0019079	disorder
Terminal esophageal web	C0267081	disorder
Closed fracture of femoral condyle of femur	C0272754	disorder
Hypercalcemia	C0020437	disorder
Autoimmune thyroiditis	C0920350	disorder
Cleft palate with cleft lip	C0158646	disorder
Carotid endarterectomy	C0014099	procedure
Suture granuloma	C0038967	disorder
Closed trimalleolar fracture	C0159883	disorder
Hyperparathyroidism	C0020502	disorder
Lymphocytosis	C0024282	disorder
Multiple congenital anomalies	C0000772	morphologic abnormality
Nonspecific ulcerative proctitis	C0267572	disorder
Latent syphilis with positive serology	C0275858	disorder
Acute stress disorder	C0236816	disorder
Paroxysmal supraventricular tachycardia	C0030590	disorder
Congenital stenosis of pulmonary valve	C0162164	disorder
Acquired deformity of hip	C0158478	disorder
Aortic aneurysm	C0003486	disorder
Female infertility	C0021361	disorder
Disseminated intravascular coagulation	C0012739	disorder
Lumbar spondylosis with myelopathy	C0158247	disorder
Poisoning by anticoagulant	C0161530	disorder
Spina bifida	C0080178	disorder
Arthropathy associated with a neurological disorder	C0003892	disorder
Bronchopulmonary dysplasia of newborn	C0006287	disorder
Pulmonary congestion	C0242073	disorder
Abscess of Bartholin's gland	C0004766	disorder
Catheterization of left heart	C0189897	procedure
Acute atopic conjunctivitis	C0001309	disorder
Rheumatic tricuspid valve regurgitation	C0264778	disorder
Aortic valve sclerosis	C1455780	disorder
Intestinal adhesions with obstruction	C0267478	disorder
Adult respiratory distress syndrome	C0035222	disorder
Tongue tie	C0152415	disorder
Tenosynovitis	C0039520	disorder
Pruritus of vulva	C0033778	disorder
Recurrent major depression in remission	C0270477	disorder
Tracheostomy complication	C0155921	disorder
Pulmonary aspiration	C0700198	finding
Contusion of upper limb	C0160931	disorder
Chronic cough	C0010201	finding
Alopecia areata	C0002171	disorder
Acute cystitis	C0149523	disorder
Nasal congestion	C0027424	finding
Glaucoma associated with ocular trauma	C0339594	disorder
Removal of intrauterine device	C0204786	procedure
Benign intracranial hypertension	C0033845	disorder
Acute maxillary sinusitis	C0155804	disorder
Apraxia	C0003635	finding
Injury of brachial plexus	C0161446	disorder
Central retinal vein occlusion	C0154841	disorder
Polyp of colon	C0009376	disorder
Varicella vaccination	C1305388	procedure
Urinary tract infectious disease	C0042029	disorder
Manic bipolar I disorder	C0024713	disorder
Capsulitis	C0263907	disorder
Anal pain	C0238637	finding
Contact dermatitis of eyelid	C0271308	disorder
Degeneration of thoracic intervertebral disc	C0263872	disorder
Acquired unequal leg length	C0264156	finding
Menopausal problem	C0232968	finding
Systemic lupus erythematosus glomerulonephritis syndrome	C0024143	disorder
Closed fracture of coronoid process of ulna	C0435603	disorder
Closed fracture of head of radius	C0159716	disorder
Schizoaffective disorder	C0036337	disorder
Contusion of buttock	C0274220	disorder
Regular astigmatism	C0152193	disorder
alpha Thalassemia	C0002312	disorder
Muscle pain	C0231528	finding
Hyperventilation	C0020578	finding
Fetus OR newborn affected by maternal complication of pregnancy	C0158816	disorder
Excision of breast tissue	C0191849	procedure
Complete abortion	C0233105	disorder
Degeneration of cervical intervertebral disc	C0158262	disorder
Intolerant of heat	C0231274	finding
Urethral caruncle	C0152247	disorder
Psychotic disorder	C0033975	disorder
Varicose veins of lower extremity with ulcer AND inflammation	C0155779	disorder
Venous catheterization for renal dialysis	C0191126	procedure
Abscess of vulva	C0262666	disorder
Eustachian tube disorder	C0271468	disorder
Mass of retroperitoneal structure	C0267771	finding
Hypertensive retinopathy	C0152132	disorder
Insertion of prosthetic intraocular lens	C0023311	procedure
Hidradenitis	C0085160	disorder
Congenital anomaly of esophagus	C0266126	disorder
Contusion of finger	C0432773	disorder
Mucocele of salivary gland	C0026686	disorder
Closed fracture of vault of skull without intracranial injury	C0272452	disorder
Polycystic ovaries	C0032460	disorder
Rheumatoid arthritis	C0003873	disorder
Fracture of shaft of tibia	C0272767	disorder
Stricture of anus	C0262374	disorder
Haemophilus influenzae pneumonia	C0276026	disorder
Persistent occipitoposterior position	C0269824	disorder
Torticollis	C0040485	disorder
Rhinitis	C0035455	disorder
Hallucinations	C0018524	finding
Atrial septal defect	C0018817	disorder
Hemorrhoids	C0019112	disorder
Peritoneal adhesion	C0156181	disorder
Closed fracture of fifth metatarsal bone	C0272790	disorder
Displacement of intervertebral disc without myelopathy	C1328971	disorder
Nutritional deficiency	C0162429	disorder
Malignant hypertension	C0020540	disorder
Cholelithiasis without obstruction	C0267861	disorder
Stridor	C0038450	finding
Bruit	C0006318	finding
Occult spinal dysraphism sequence	C0080218	disorder
Transplant of kidney	C0022671	procedure
Narcotic drug user	C0337681	finding
Noncompliance with treatment	C0376405	finding
Scar of skin	C0241158	disorder
Perinatal intraventricular hemorrhage	C0270191	disorder
Cellulitis of toe	C0263134	disorder
Urinary bladder stone	C0005683	disorder
Agoraphobia	C0001818	disorder
At risk for impaired skin integrity	C0231357	finding
Sprain of wrist	C0160063	disorder
Major depression single episode, in partial remission	C0236763	disorder
Pyoderma	C0034212	disorder
Renal colic	C0152169	finding
Multi-infarct dementia, uncomplicated	C0236650	disorder
Pulmonary hypertension	C0020542	disorder
Infection due to Escherichia coli	C0014836	disorder
Glaucoma of childhood	C0020302	disorder
Croup	C0010380	disorder
Peritoneal dialysis	C0031139	procedure
Spinal cord compression	C0037926	disorder
Atypical facial pain	C0154729	finding
Ganglion cyst	C1258666	morphologic abnormality
Lipodystrophy	C0023787	disorder
Cerebral arterial thrombosis	C0795687	disorder
Fracture of femur	C0015802	disorder
Urinary tract obstruction	C0178879	disorder
Fracture of skull	C0037304	disorder
Mammography	C0024671	procedure
Cervico-occipital neuralgia	C0007863	finding
Vasospasm	C0085616	finding
Decrease in height	C0424641	finding
Nodal rhythm disorder	C0264893	disorder
Meningitis	C0025289	disorder
Urgent desire for stool	C0426636	finding
Anophthalmos	C0003119	disorder
Precordial pain	C0232286	finding
Struck by falling object	C0337253	event
Paronychia	C0030578	disorder
Ventricular fibrillation	C0042510	disorder
Hypercalciuria	C0020438	disorder
Mild manic bipolar I disorder	C0236767	disorder
Tuberous sclerosis syndrome	C0041341	disorder
Duodenitis	C0013298	disorder
Rheumatic aortic stenosis	C0155567	disorder
Incontinence of feces	C0015732	finding
Juvenile osteochondrosis of tibial tubercle	C0029376	disorder
Arteriosclerotic vascular disease	C0003850	disorder
Poliomyelitis vaccination	C0199809	procedure
Senile lentigo	C0036651	disorder
Modified radical mastectomy, unilateral	C0191886	procedure
Nerve root disorder	C1527351	disorder
Relapsing polychondritis	C0032453	disorder
Circumcision	C0008819	procedure
Bullous dermatosis	C0085932	disorder
Inclusion body myositis	C0238190	disorder
Cyst of thyroid	C0162299	disorder
Bicuspid aortic valve	C0149630	disorder
Eating disorder	C0013473	disorder
Feeding problems in newborn	C0159023	finding
Injury of trigeminal nerve	C0161406	disorder
Candidal vulvovaginitis	C0700345	disorder
Nodular degeneration of cornea	C0155122	disorder
Prickly heat	C0162423	disorder
Anorectal fistula	C0149889	disorder
Laryngectomy	C0023065	procedure
Snoring	C0037384	finding
Varicose veins of lower extremity	C0155778	disorder
Normal pregnancy	C0232989	finding
Familial multiple polyposis syndrome	C0032580	disorder
Congenital cystic disease of liver	C0158683	disorder
Candidiasis of vagina	C0006852	disorder
Bloodshot eye	C0005858	finding
Coarctation of aorta	C0003492	disorder
Pes anserinus bursitis	C0263929	disorder
Empyema of gallbladder	C0014012	disorder
Encopresis with constipation AND overflow incontinence	C0236849	finding
Tetanus diphtheria vaccination	C0058773	procedure
Recurrent pterygium	C0155158	disorder
Diabetes mellitus	C0011849	disorder
Chronic ethmoidal sinusitis	C0008681	disorder
Closed fracture of surgical neck of humerus	C0159680	disorder
Muscular dystrophy	C0026850	disorder
Oligodendroglioma	C0028945	morphologic abnormality
Polyneuropathy due to drug	C0154762	disorder
Dysplasia of cervix	C0007868	disorder
Benign secondary renovascular hypertension	C0264642	disorder
Sleep apnea	C0037315	finding
Stevens-Johnson syndrome	C0038325	disorder
Abscess of lung	C0024110	disorder
Epicondylitis	C0014488	disorder
Intervertebral disc prolapse	C0242362	disorder
Stress	C0038435	finding
Laparoscopy	C0031150	procedure
Congenital subaortic stenosis	C0158621	disorder
Thickening of pleura	C0264545	disorder
Neonatal jaundice associated with preterm delivery	C0158971	disorder
Colonoscopy	C0009378	procedure
Subacute bacterial endocarditis	C0014122	disorder
Acute myocardial infarction of inferior wall	C0264700	disorder
Polyp of duodenum	C0347266	disorder
Fetus OR newborn affected by delivery by vacuum extractor	C0158842	disorder
Prolapse of female genital organs	C0156349	disorder
Pregnancy detection examination	C0032976	procedure
Acromegaly	C0001206	disorder
Feeding disorder of infancy OR early childhood	C0236812	disorder
Central corneal ulcer	C0155069	disorder
Mass of pelvic structure	C0347944	finding
Pain in elbow	C0239266	finding
Spasmodic torticollis	C0152116	disorder
Congenital disorder due to abnormality of chromosome number OR structure	C0008626	disorder
Wolff-Parkinson-White pattern	C0043202	disorder
Pauciarticular juvenile rheumatoid arthritis	C0157917	disorder
Appendicitis	C0003615	disorder
Mucopurulent chronic bronchitis	C0155873	disorder
Late effect of intracranial injury without skull fracture	C0274278	disorder
Gastrointestinal hemorrhage	C0017181	disorder
Bereavement due to life event	C1879338	finding
Acquired thrombocytopenia	C0154301	disorder
Tachycardia-bradycardia	C0221047	disorder
Diabetic complication	C0271672	disorder
Mantle cell lymphoma	C0334634	morphologic abnormality
Mild depressed bipolar I disorder	C0236774	disorder
Foreign body in nose	C0161008	disorder
Hypopituitarism	C0020635	disorder
Mental disorder	C0004936	disorder
Exploratory laparotomy	C0085704	procedure
Strain of rotator cuff capsule	C0434322	disorder
Stenosis of lacrimal punctum	C0155244	disorder
Contusion of foot	C0160955	disorder
Double outlet right ventricle	C0013069	disorder
Congenital anomaly of spine	C0158775	disorder
Infestation by Anoplura	C0277348	disorder
Acute febrile mucocutaneous lymph node syndrome	C0026691	disorder
Urgent desire to urinate	C0085606	finding
Abdominal abscess	C0243001	disorder
Closed traumatic dislocation of joint of finger	C0159957	disorder
Employment problem	C0028803	finding
Renal disease in pregnancy AND/OR puerperium without hypertension	C0269673	disorder
Abnormal liver function	C0086565	finding
Pyrexia of unknown origin	C0015970	finding
Hyphema	C0020581	disorder
Food poisoning	C0016479	disorder
Bacterial enteritis	C0152516	disorder
Feeling angry	C0002957	finding
Foreign body in ear	C0161007	disorder
Intervertebral disc disorder of cervical region with myelopathy	C0158268	disorder
Transitory tachypnea of newborn	C0158940	disorder
Closed fracture of neck of metacarpal bone	C0272688	disorder
Cerebral embolism	C0007780	disorder
Opioid dependence	C0524662	disorder
Viral pneumonia	C0032310	disorder
Polyradiculopathy	C0032586	disorder
Fracture of fibula	C0149699	disorder
Derangement of temporomandibular joint	C0266941	disorder
Pancreatitis	C0030305	disorder
Red eye	C0235267	disorder
Vitrectomy	C0042903	procedure
Onycholysis	C0085661	disorder
Posterior rhinorrhea	C0032781	disorder
Cellulitis of breast	C0392003	disorder
Fracture of radius AND ulna	C0159710	disorder
Abdominal aortic aneurysm without rupture	C0265011	disorder
Metabolic disease	C0025517	disorder
Thrombosed hemorrhoids	C0235326	disorder
Atrophic vulvovaginitis	C0149836	disorder
Esophagogastroduodenoscopy	C0079304	procedure
Disorder of bone	C0005940	disorder
Cyclothymia	C0010598	disorder
Spinal stenosis	C0037944	disorder
Crohn's disease of large bowel	C0156147	disorder
Mechanical ptosis	C0155202	disorder
Tattoo	C0221258	disorder
Syphilis	C0039128	disorder
Extrapyramidal disease	C0015371	disorder
Endometriosis of uterus	C0341858	disorder
Severe major depression, single episode, without psychotic features	C0154405	disorder
Postmenopausal state	C0232970	finding
Septic shock	C0036983	disorder
Cholecystitis	C0008325	disorder
Urethral stricture	C0041974	disorder
Trochanteric bursitis	C0151451	disorder
Postmenopausal bleeding	C0032776	finding
Cardiovascular stress testing	C1384495	procedure
Chronic hepatitis	C0019189	disorder
Acute type B viral hepatitis	C0276609	disorder
Local infection of wound	C0043241	disorder
Closed fracture of distal phalanx of finger	C0272700	disorder
Tetanus	C0039614	disorder
Amputation of finger, except thumb	C0177646	procedure
Optic atrophy	C0029124	disorder
Adhesive middle ear disease	C0155478	disorder
Cholesterol measurement	C0201950	procedure
Primary open angle glaucoma	C0339573	disorder
Neurotrophic keratoconjunctivitis	C0155084	disorder
Bullous pemphigoid	C0030805	disorder
History and physical examination, school	C0420160	procedure
Disorder of optic nerve	C0029132	disorder
Smoker	C0337664	finding
Implantation of mitral valve prosthesis or synthetic device	C0190106	procedure
Membranous glomerulonephritis	C0017665	disorder
Spina bifida of lumbar region	C0266503	disorder
Blind loop syndrome	C0005750	disorder
Pityriasis rosea	C0032026	disorder
Prolonged second stage of labor	C0157266	disorder
Angiography	C0002978	procedure
Patient currently pregnant	C0549206	finding
Activity intolerance	C0231367	finding
Transplantation	C0040732	procedure
Congenital biliary atresia	C0005411	disorder
Pterygium	C0033998	disorder
Fracture of pelvis	C0149531	disorder
Mixed conductive AND sensorineural hearing loss	C0155552	disorder
Ligation of fallopian tube	C0520483	procedure
Degeneration of intervertebral disc	C0158266	disorder
